S/N	pos	Crack_Pressure_Cycle1	Crack_Pressure_Cycle2	Crack_Pressure_Cycle3	Crack_Pressure_Cycle4	Crack_Pressure_Cycle5	Crack_Pressure_Cycle6	Crack_Pressure_Cycle7	Crack_Pressure_Average	Reseat_Pressure_Cycle1	Reseat_Pressure_Cycle2	Reseat_Pressure_Cycle3	Reseat_Pressure_Cycle4	Reseat_Pressure_Cycle5	Reseat_Pressure_Cycle6	Reseat_Pressure_Cycle7	Reseat_Pressure_Average	Flow	Flow_Pressure	Error
20.02.2023	c/223061_LS1230093_1.csv	Hieke	223061	1230093	1
334915	1	1.959824	1.962851	1.962851	1.962851	1.965879	1.965879	1.968906	1.96487	1.870293	1.864238	1.870293	1.867266	1.867266	1.87332	1.867266	1.868275	8.113247	2.60291	
334916	2	1.962851	1.965879	2.011289	1.968906	1.965879	1.968906	1.965879	1.974456	1.876348	1.882402	1.867266	1.87332	1.870293	1.879375	1.861211	1.872311	8.070516	2.478789	
334917	3	1.965879	1.968906	1.968906	1.965879	1.965879	1.968906	1.968906	1.967897	1.876348	1.870293	1.87332	1.870293	1.864238	1.861211	1.864238	1.867265	8.101496	2.536308	
334918	4	1.965879	1.971933	1.968906	1.968906	1.968906	1.965879	1.971933	1.969411	1.861211	1.852129	1.861211	1.864238	1.861211	1.858183	1.849102	1.857679	8.100426	2.493926	
334919	5	1.965879	1.965879	1.968906	1.965879	1.965879	1.968906	1.968906	1.967393	1.870293	1.87332	1.87332	1.87332	1.870293	1.876348	1.876348	1.873825	8.08547	2.530254	
334920	6	1.971933	1.965879	1.968906	1.971933	1.968906	1.968906	1.965879	1.968402	1.87332	1.885429	1.876348	1.876348	1.876348	1.879375	1.855156	1.874834	8.084403	2.46668	
334921	7	1.965879	1.971933	1.968906	2.023398	1.968906	1.971933	1.965879	1.978493	1.876348	1.882402	1.879375	1.876348	1.882402	1.882402	1.882402	1.880889	8.106836	2.551445	
334922	8	1.968906	1.965879	1.968906	1.968906	1.965879	1.968906	1.968906	1.967897	1.876348	1.87332	1.876348	1.87332	1.870293	1.879375	1.882402	1.875843	8.137823	2.66043		
S/N	pos	Crack_Pressure_Cycle1	Crack_Pressure_Cycle2	Crack_Pressure_Cycle3	Crack_Pressure_Cycle4	Crack_Pressure_Cycle5	Crack_Pressure_Cycle6	Crack_Pressure_Cycle7	Crack_Pressure_Average	Reseat_Pressure_Cycle1	Reseat_Pressure_Cycle2	Reseat_Pressure_Cycle3	Reseat_Pressure_Cycle4	Reseat_Pressure_Cycle5	Reseat_Pressure_Cycle6	Reseat_Pressure_Cycle7	Reseat_Pressure_Average	Flow	Flow_Pressure	Error
20.02.2023	c/223061_LS1230093_1.csv	Hieke	223061	1230093	1
334923	1	1.971933	1.965879	1.878086	1.968906	1.965879	1.968906	1.968906	1.95276	1.849102	1.846074	1.846074	1.846074	1.849102	1.849102	1.852129	1.848092	8.15064	2.642265	
334924	2	1.968906	1.965879	1.971933	1.971933	1.971933	1.971933	1.968906	1.97042	1.87332	1.864238	1.867266	1.870293	1.867266	1.867266	1.867266	1.867266	8.075856	2.596855	
334925	3	1.965879	1.971933	1.965879	1.968906	1.965879	1.968906	1.965879	1.967897	1.864238	1.867266	1.867266	1.864238	1.864238	1.861211	1.861211	1.864238	8.060896	2.478789	
334926	4	1.968906	1.968906	1.965879	1.968906	1.965879	1.962851	1.962851	1.965879	1.846074	1.852129	1.833965	1.82791	1.824882	1.818828	1.815801	1.828919	8.102565	2.54539	
334927	5	1.962851	1.959824	1.959824	1.962851	1.962851	1.959824	1.965879	1.961842	1.876348	1.87332	1.876348	1.87332	1.870293	1.87332	1.870293	1.872816	8.085472	2.51209	
334928	6	1.962851	1.962851	1.962851	1.965879	1.959824	1.962851	1.962851	1.962851	1.861211	1.867266	1.867266	1.864238	1.867266	1.867266	1.867266	1.866761	8.099358	2.539336	
334929	7	1.962851	1.962851	1.962851	1.959824	1.962851	1.962851	1.959824	1.961842	1.864238	1.849102	1.849102	1.843047	1.840019	1.833965	1.833965	1.841533	8.106838	2.539336	
334930	8	2.011289	1.959824	1.959824	1.962851	1.962851	1.959824	1.959824	1.960833	1.843047	1.858183	1.864238	1.867266	1.864238	1.867266	1.867266	1.864743	8.088674	2.484844		
S/N	pos	Crack_Pressure_Cycle1	Crack_Pressure_Cycle2	Crack_Pressure_Cycle3	Crack_Pressure_Cycle4	Crack_Pressure_Cycle5	Crack_Pressure_Cycle6	Crack_Pressure_Cycle7	Crack_Pressure_Average	Reseat_Pressure_Cycle1	Reseat_Pressure_Cycle2	Reseat_Pressure_Cycle3	Reseat_Pressure_Cycle4	Reseat_Pressure_Cycle5	Reseat_Pressure_Cycle6	Reseat_Pressure_Cycle7	Reseat_Pressure_Average	Flow	Flow_Pressure	Error
20.02.2023	c/223061_LS1230093_1.csv	Hieke	223061	1230093	1
334931	1	1.968906	2.026426	1.88414	1.905332	1.869004	1.977988	1.89625	1.926523	1.864238	1.861211	1.858183	1.855156	1.855156	1.855156	1.852129	1.856165	8.054486	2.536308	
334932	2	1.962851	1.965879	1.862949	1.956796	1.965879	1.959824	1.962851	1.945696	1.800664	1.806719	1.861211	1.797636	1.788555	1.785527	1.788555	1.8047	8.085471	2.536308	
334933	3	1.869004	1.959824	1.959824	1.865976	1.962851	1.965879	1.962851	1.946201	1.849102	1.812773	1.806719	1.806719	1.803691	1.800664	1.803691	1.80571	8.049144	2.536308	
334934	4	1.959824	1.962851	1.962851	1.962851	1.959824	1.962851	1.962851	1.962347	1.855156	1.855156	1.855156	1.855156	1.855156	1.858183	1.861211	1.85667	8.101494	2.581718	
334935	5	1.990097	2.035508	1.990097	1.869004	1.959824	1.875058	2.008262	1.956292	1.864238	1.858183	1.861211	1.864238	1.852129	1.855156	1.849102	1.85667	8.055558	2.36375	
